company_id,pros,cons
ABB,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Profit Growth,
ADANIENSOL,Strong Revenue Growth; Strong Profit Growth,Low Return on Equity; High Debt; Low Dividend Payout
ADANIENT,Strong Revenue Growth; Strong Profit Growth,Low Return on Equity; High Debt; Low Dividend Payout
ADANIGREEN,Strong Revenue Growth,High Debt; Weak Interest Coverage; Low Dividend Payout
ADANIPORTS,Strong Interest Coverage; Strong Revenue Growth,
ADANIPOWER,High Return on Equity; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,Low Dividend Payout
AMBUJACEM,Low Debt; Strong Interest Coverage,Low Dividend Payout
APOLLOHOSP,Strong Interest Coverage; Strong Profit Growth,
ASIANPAINT,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Profit Growth,
AXISBANK,Strong Profit Growth,High Debt; Weak Interest Coverage; Low Dividend Payout
BAJAJ-AUTO,High Return on Equity; Low Debt; Strong Interest Coverage,
BAJAJFINSV,High Return on Equity; Strong Revenue Growth; Strong Profit Growth,High Debt; Low Dividend Payout
BAJAJHLDNG,Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,
BAJFINANCE,Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,High Debt
BANKBARODA,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
BEL,High Return on Equity; Strong Interest Coverage; Strong Profit Growth,
BHARTIARTL,Strong Profit Growth,High Debt
BHEL,Low Debt,Low Return on Equity; Weak Interest Coverage
BOSCHLTD,High Return on Equity; Low Debt; Strong Interest Coverage,
BPCL,High Return on Equity; Strong Interest Coverage; Strong Profit Growth,
BRITANNIA,High Return on Equity; Strong Interest Coverage,
CANBK,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
CHOLAFIN,Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,High Debt; Low Dividend Payout
CIPLA,Low Debt; Strong Interest Coverage; Strong Profit Growth,
COALINDIA,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Profit Growth,
DABUR,Low Debt; Strong Interest Coverage,
DIVISLAB,Low Debt; Strong Interest Coverage,
DLF,Low Debt; Strong Interest Coverage; Strong Profit Growth,Low Return on Equity
DMART,Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,Low Dividend Payout
DRREDDY,Low Debt; Strong Interest Coverage; Strong Profit Growth,Low Dividend Payout
EICHERMOT,High Return on Equity; Low Debt; Strong Interest Coverage,
GAIL,Low Debt; Strong Interest Coverage,
GODREJCP,Low Debt,Low Return on Equity; Low Dividend Payout
GRASIM,Strong Profit Growth,High Debt; Low Dividend Payout
HAL,High Return on Equity; Strong Interest Coverage; Strong Profit Growth,
HAVELLS,Low Debt; Strong Interest Coverage,
HCLTECH,High Return on Equity; Low Debt; Strong Interest Coverage,
HDFCBANK,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
HDFCLIFE,Low Debt; Strong Interest Coverage; Strong Revenue Growth,
HEROMOTOCO,High Return on Equity; Low Debt; Strong Interest Coverage,
HINDALCO,Strong Interest Coverage,Low Return on Equity; Low Dividend Payout
HINDUNILVR,High Return on Equity; Low Debt; Strong Interest Coverage,
ICICIBANK,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
ICICIGI,Low Debt; Strong Interest Coverage,
ICICIPRULI,Low Debt; Strong Interest Coverage; Strong Revenue Growth,Low Return on Equity; Low Dividend Payout
INDIGO,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,Low Dividend Payout
INDUSINDBK,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage; Low Dividend Payout
INFY,High Return on Equity; Low Debt; Strong Interest Coverage,Low Dividend Payout
IOC,High Return on Equity; Strong Interest Coverage; Strong Profit Growth,
IRCTC,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,
IRFC,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
ITC,High Return on Equity; Low Debt; Strong Interest Coverage,
JINDALSTEL,Low Debt; Strong Interest Coverage,Low Dividend Payout
JIOFIN,Low Debt; Strong Interest Coverage,Low Return on Equity; Low Dividend Payout
JSWENERGY,Strong Profit Growth,Low Return on Equity; High Debt
JSWSTEEL,Strong Revenue Growth,High Debt
KOTAKBANK,Strong Profit Growth,High Debt; Weak Interest Coverage; Low Dividend Payout
LICI,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Profit Growth,
LODHA,Low Debt; Strong Interest Coverage,Low Return on Equity; Low Dividend Payout
LT,High Return on Equity; Low Debt,
LTIM,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,
M&M,Strong Profit Growth,High Debt
MARUTI,Low Debt; Strong Interest Coverage,
MOTHERSON,Strong Interest Coverage,
NAUKRI,Low Debt; Strong Interest Coverage; Strong Revenue Growth,Low Return on Equity
NESTLEIND,High Return on Equity; Low Debt; Strong Interest Coverage,
NHPC,Strong Interest Coverage,
NTPC,,High Debt
ONGC,Low Debt; Strong Interest Coverage,
PFC,High Return on Equity; Strong Profit Growth,High Debt; Weak Interest Coverage
PIDILITIND,High Return on Equity; Low Debt; Strong Interest Coverage,
PNB,High Return on Equity; Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
POWERGRID,,High Debt
RECLTD,High Return on Equity; Strong Profit Growth,High Debt; Weak Interest Coverage
RELIANCE,Strong Interest Coverage,Low Return on Equity; Low Dividend Payout
SBILIFE,Low Debt; Strong Interest Coverage; Strong Revenue Growth,Low Dividend Payout
SHREECEM,Low Debt; Strong Interest Coverage,Low Return on Equity
SHRIRAMFIN,Strong Revenue Growth; Strong Profit Growth,High Debt; Weak Interest Coverage
SIEMENS,Low Debt; Strong Interest Coverage; Strong Profit Growth,
SUNPHARMA,Low Debt; Strong Interest Coverage; Strong Profit Growth,
TATACONSUM,Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,Low Return on Equity
TATAMOTORS,High Return on Equity; Strong Interest Coverage,High Debt; Low Dividend Payout
TATAPOWER,Strong Revenue Growth,High Debt
TATASTEEL,,Low Return on Equity; Low Dividend Payout
TCS,High Return on Equity; Low Debt; Strong Interest Coverage,
TECHM,Low Debt; Strong Interest Coverage,Low Return on Equity
TITAN,High Return on Equity; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,High Debt
TORNTPHARM,High Return on Equity; Strong Interest Coverage; Strong Profit Growth,
TRENT,High Return on Equity; Low Debt; Strong Interest Coverage; Strong Revenue Growth; Strong Profit Growth,Low Dividend Payout
TVSMOTOR,High Return on Equity; Strong Profit Growth,High Debt
